2025-11-02 21:01:56.644 | DEBUG    | src.data.processing:data_processing_inference:28 - 🔧 Starting `data_processing_inference` function.
2025-11-02 21:01:56.686 | INFO     | src.data.processing:data_processing_inference:29 - Mode: is_train=False
2025-11-02 21:01:56.686 | INFO     | src.data.processing:data_processing_inference:32 - Removing columns ['id', 'NObeyesdad'].
2025-11-02 21:01:56.686 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'NObeyesdad']
2025-11-02 21:01:56.694 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:01:56.694 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:01:56.705 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:01:56.709 | INFO     | src.data.processing:data_processing_inference:52 - Loading 'qcut_bins' from aws.
2025-11-02 21:01:58.401 | INFO     | src.data.processing:_categorize_numerical_columns:180 - Categorizing the 'Age' column into discrete categories.
2025-11-02 21:01:58.413 | INFO     | src.data.processing:_transform_numerical_columns:170 - Transforming (Log + 1 transformation) to the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:01:58.421 | INFO     | src.data.processing:data_processing_inference:75 - Loading 'scalers' from aws
2025-11-02 21:02:00.171 | INFO     | src.data.processing:_scales_numerical_columns:193 - Scaling the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:02:00.183 | INFO     | src.data.processing:data_processing_inference:102 - Loading 'features_encoder' from aws.
2025-11-02 21:02:01.955 | INFO     | src.data.processing:_encode_categorical_columns:205 - Encoding the ['Gender' 'Age' 'family_history_with_overweight' 'FAVC' 'CAEC' 'SMOKE'
 'SCC' 'CALC' 'MTRANS' 'INMM'] columns.
2025-11-02 21:02:01.983 | SUCCESS  | src.data.processing:data_processing_inference:114 - ✅ Data processing pipeline completed successfully.
2025-11-02 21:02:01.989 | DEBUG    | src.data.processing:data_processing_inference:28 - 🔧 Starting `data_processing_inference` function.
2025-11-02 21:02:01.991 | INFO     | src.data.processing:data_processing_inference:29 - Mode: is_train=False
2025-11-02 21:02:01.991 | INFO     | src.data.processing:data_processing_inference:32 - Removing columns ['id', 'NObeyesdad'].
2025-11-02 21:02:01.991 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'NObeyesdad']
2025-11-02 21:02:01.993 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:02:01.996 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:02:01.998 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:02:02.000 | INFO     | src.data.processing:data_processing_inference:52 - Loading 'qcut_bins' from aws.
2025-11-02 21:02:03.958 | INFO     | src.data.processing:_categorize_numerical_columns:180 - Categorizing the 'Age' column into discrete categories.
2025-11-02 21:02:03.961 | INFO     | src.data.processing:_transform_numerical_columns:170 - Transforming (Log + 1 transformation) to the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:02:03.964 | INFO     | src.data.processing:data_processing_inference:75 - Loading 'scalers' from aws
2025-11-02 21:02:05.585 | INFO     | src.data.processing:_scales_numerical_columns:193 - Scaling the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:02:05.588 | INFO     | src.data.processing:data_processing_inference:102 - Loading 'features_encoder' from aws.
2025-11-02 21:02:07.161 | INFO     | src.data.processing:_encode_categorical_columns:205 - Encoding the ['Gender' 'Age' 'family_history_with_overweight' 'FAVC' 'CAEC' 'SMOKE'
 'SCC' 'CALC' 'MTRANS' 'INMM'] columns.
2025-11-02 21:02:07.185 | SUCCESS  | src.data.processing:data_processing_inference:114 - ✅ Data processing pipeline completed successfully.
2025-11-02 21:02:07.217 | INFO     | src.model.inference:predict:94 - Prediction: [1 1 1 ... 4 4 4].
2025-11-02 21:02:07.241 | INFO     | src.model.inference:predict:94 - Prediction: ['Normal_Weight' 'Normal_Weight' 'Normal_Weight' ... 'Obesity_Type_III'
 'Obesity_Type_III' 'Obesity_Type_III'].
2025-11-02 21:02:53.658 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:02:53.661 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:02:53.668 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:02:53.701 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:02:53.704 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:02:53.706 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:02:53.708 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'Age', 'NObeyesdad']
2025-11-02 21:02:53.730 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:02:53.731 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:02:53.732 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:02:53.736 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'Age', 'NObeyesdad']
2025-11-02 21:02:53.739 | INFO     | src.data.processing:_transform_numerical_columns:170 - Transforming (Log + 1 transformation) to the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:02:54.331 | INFO     | src.data.utils:download_dataset:104 - Downloading dataset aravindpcoder/obesity-or-cvd-risk-classifyregressorcluster and saving into the folder D:\My_project\e2e_ml\data.
2025-11-02 21:02:58.566 | INFO     | src.data.utils:download_dataset:104 - Downloading dataset playground-series-s4e2 and saving into the folder D:\My_project\e2e_ml\data.
2025-11-02 21:03:03.121 | DEBUG    | src.data.processing:data_processing_inference:28 - 🔧 Starting `data_processing_inference` function.
2025-11-02 21:03:03.121 | INFO     | src.data.processing:data_processing_inference:29 - Mode: is_train=False
2025-11-02 21:03:03.121 | INFO     | src.data.processing:data_processing_inference:32 - Removing columns ['id', 'NObeyesdad'].
2025-11-02 21:03:03.121 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'NObeyesdad']
2025-11-02 21:03:03.121 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:03:03.121 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:03:03.121 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:03:03.121 | INFO     | src.data.processing:data_processing_inference:52 - Loading 'qcut_bins' from aws.
2025-11-02 21:03:04.591 | INFO     | src.data.processing:_categorize_numerical_columns:180 - Categorizing the 'Age' column into discrete categories.
2025-11-02 21:03:04.592 | INFO     | src.data.processing:_transform_numerical_columns:170 - Transforming (Log + 1 transformation) to the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:03:04.603 | INFO     | src.data.processing:data_processing_inference:75 - Loading 'scalers' from aws
2025-11-02 21:03:06.049 | INFO     | src.data.processing:_scales_numerical_columns:193 - Scaling the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:03:06.052 | INFO     | src.data.processing:data_processing_inference:102 - Loading 'features_encoder' from aws.
2025-11-02 21:03:07.585 | INFO     | src.data.processing:_encode_categorical_columns:205 - Encoding the ['Gender' 'Age' 'family_history_with_overweight' 'FAVC' 'CAEC' 'SMOKE'
 'SCC' 'CALC' 'MTRANS' 'INMM'] columns.
2025-11-02 21:03:07.595 | SUCCESS  | src.data.processing:data_processing_inference:114 - ✅ Data processing pipeline completed successfully.
2025-11-02 21:03:07.595 | INFO     | src.model.inference:predict:94 - Prediction: ['Normal_Weight'].
2025-11-02 21:08:39.220 | DEBUG    | src.data.processing:data_processing_inference:28 - 🔧 Starting `data_processing_inference` function.
2025-11-02 21:08:39.223 | INFO     | src.data.processing:data_processing_inference:29 - Mode: is_train=False
2025-11-02 21:08:39.223 | INFO     | src.data.processing:data_processing_inference:32 - Removing columns ['id', 'NObeyesdad'].
2025-11-02 21:08:39.225 | INFO     | src.data.processing:_drop_features:218 - drop fratures ['id', 'NObeyesdad']
2025-11-02 21:08:39.232 | INFO     | src.data.processing:_change_height_units:147 - Changing the height units to centimeters.
2025-11-02 21:08:39.235 | INFO     | src.data.processing:_create_bmi_feature:154 - Creating a new column for the BMI (Body Mass Index) values from data samples.
2025-11-02 21:08:39.236 | INFO     | src.data.processing:_create_inmm_features:161 - Creating a new column for the INMM (Ideal Number of Main Meals?) values from data sample.
2025-11-02 21:08:39.239 | INFO     | src.data.processing:data_processing_inference:52 - Loading 'qcut_bins' from aws.
2025-11-02 21:08:41.672 | INFO     | src.data.processing:_categorize_numerical_columns:180 - Categorizing the 'Age' column into discrete categories.
2025-11-02 21:08:41.688 | INFO     | src.data.processing:_transform_numerical_columns:170 - Transforming (Log + 1 transformation) to the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:08:41.711 | INFO     | src.data.processing:data_processing_inference:75 - Loading 'scalers' from aws
2025-11-02 21:08:44.219 | INFO     | src.data.processing:_scales_numerical_columns:193 - Scaling the ['Height', 'Weight', 'FCVC', 'NCP', 'CH2O', 'FAF', 'TUE', 'BMI'] columns.
2025-11-02 21:08:44.229 | INFO     | src.data.processing:data_processing_inference:102 - Loading 'features_encoder' from aws.
2025-11-02 21:08:46.848 | INFO     | src.data.processing:_encode_categorical_columns:205 - Encoding the ['Gender' 'Age' 'family_history_with_overweight' 'FAVC' 'CAEC' 'SMOKE'
